feature_set,n_features,C,penalty,class_weight_name,auc,pr_auc,top30_cutoff,top30_flagged,top30_precision,top30_recall,top30_balanced_acc,outer_fold
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9121863799283154,0.8289442039442041,0.30444237223576115,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,49
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9086021505376344,0.7741256936378889,0.4074099730038588,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,49
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9050179211469535,0.7644735438853085,0.29483260399153693,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,50
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.8978494623655915,0.7493987493987493,0.41110463479619963,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,50
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.8942652329749103,0.7396505303482047,0.38626395854298434,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,50
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.8978494623655914,0.7531185438162182,0.38419132529227107,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,51
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.89247311827957,0.7410689954168215,0.4350983654493875,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,51
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.8817204301075269,0.7224584278155708,0.3226626678432361,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,51
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9947089947089947,0.9626543209876544,0.18739467194805634,22,0.4090909090909091,1.0,0.8968253968253967,52
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9894179894179894,0.9328843995510662,0.24856018259754145,22,0.4090909090909091,1.0,0.8968253968253967,52
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9823633156966489,0.8927128427128428,0.33453865537192606,22,0.4090909090909091,1.0,0.8968253968253967,52
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.989247311827957,0.9435897435897438,0.24254219281145029,22,0.4090909090909091,1.0,0.8951612903225806,53
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9874551971326165,0.9380952380952383,0.2987731973788118,22,0.4090909090909091,1.0,0.8951612903225806,53
