device_label,split_segment,channel_segment,early_tracked_events,early_actions,deliberate_share,later_active,logistic_selected,complement_nb_alpha_0_1,complement_nb_alpha_0_5,complement_nb_alpha_1_0,bernoulli_nb_alpha_0_5,bernoulli_nb_alpha_1_0,gaussian_nb,decision_tree_depth_1,decision_tree_depth_2,extra_trees_shallow
D036,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.05777853392505998,0.00020542045007405015,0.00020697172913138344,0.00020893603925600343,2.8766077665129934e-07,8.580800889120665e-07,1.0821964810211428e-11,0.10056532803973789,0.0029380053908355797,0.1118482846657547
D037,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0.030227740714708504,0.002282602170972256,0.0022909814663212183,0.0023016474121126122,2.546904540781141e-07,1.3057789793924906e-06,2.0159048175416232e-11,0.08528027159188889,0.0014814814814814814,0.1132259255435159
D038,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0.03104109268486555,0.0015061566433449442,0.0015182701763934753,0.0015335335515213528,1.5252720558354368e-07,8.073718811088867e-07,2.011731373512922e-11,0.08667398088168417,0.0,0.11255874956313253
D039,저밀도+의도행동 있음,토스 관측,19,1,0.0526315789473684,False,0.20460885592263112,2.839286413186518e-07,2.6729825796169145e-07,2.481520603797e-07,0.4110110664007831,0.3195923500666769,0.008477058239117315,0.16947051850978967,0.05355148119854002,0.2793553836541692
D040,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.0589362418091252,0.0001751689571714144,0.00017702331666940327,0.00017936484954409184,2.5038039144148716e-07,7.827505374464559e-07,2.147442155837245e-15,0.08582196001437517,0.0014814814814814814,0.11333613587028825
D041,고밀도+의도행동 적음,메인·웹만,103,1,0.0097087378640776,True,0.8065620129705166,9.153383537574855e-43,3.947088998354089e-41,2.5230029581280317e-39,0.13191410458302427,0.09995659301324512,0.8367959983368982,0.551216328086727,0.40336511795806596,0.42650987517832656
D042,저밀도+의도행동 없음,메인·웹만,18,0,0.0,False,0.1536667831075993,8.919398359999894e-10,9.003310195633024e-10,9.104767850416032e-10,0.00016974233923127574,0.00014816659756415566,2.6971542615244068e-06,0.33252557323869036,0.24677106579604435,0.2746044451787204
D043,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.10015505433312459,0.00011137854256791183,0.00011088243346260358,0.0001103976790713749,6.473467697140096e-06,1.712146117090979e-05,1.7234543598283003e-11,0.09648623028455094,0.12780418411997357,0.17139988868407904
D044,고밀도+의도행동 많음,토스 관측,42,14,0.3333333333333333,True,0.7414976620273311,0.33972360539656143,0.30815117850558804,0.29300103631332225,0.9987806961954466,0.9975693491295453,0.9999999988079071,0.6339492565387829,0.5968327767100187,0.46664603896777446
D045,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.16632871270899824,4.13346038827868e-05,4.193519398809526e-05,4.2691714167498944e-05,8.329084253581778e-07,2.461172745688066e-06,6.1890717371935984e-12,0.10849387548773336,0.004419486872317061,0.14899517463803577
D046,고밀도+의도행동 많음,토스 관측,111,55,0.4954954954954955,False,0.22701717789310202,1.0,1.0,1.0,0.9999558325921835,0.999935067167162,0.94,0.4982013193514235,0.6077640269862749,0.6887933624902135
D047,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.05831572149724384,0.0002538314811046222,0.00025527011418024603,0.0002570975173300053,1.1202362685612512e-07,6.160311664903044e-07,2.097946462582185e-15,0.09710937688099122,0.002990915443745632,0.1122283866334237
D048,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.21857501929099565,2.3358720392448866e-05,2.330492908846951e-05,2.3241448455093773e-05,2.2881154001442558e-06,3.5330403986080923e-06,2.6822441027219698e-11,0.08233013293036218,0.02925809822361546,0.1573216065288102
D049,고밀도+의도행동 적음,토스 관측,24,0,0.0,False,0.08598926741147694,1.7904323853017589e-10,2.399363082159736e-10,3.2355326300320327e-10,0.0011247316234880879,0.0010065795136517087,0.019963632953342338,0.39585223236383593,0.4360465252151873,0.3119706190363427
D050,고밀도+의도행동 많음,토스 관측,50,21,0.42,False,0.7648022425802269,0.999999994300292,0.9999999637184849,0.9999999054453222,0.9996665820449294,0.9990279111450902,1.0,0.40486952251657726,0.3911084825201502,0.5446274889800357
D051,고밀도+의도행동 적음,토스 관측,21,0,0.0,False,0.10441880825584944,1.1979946475128775e-09,1.6241151355005953e-09,2.2230019803429503e-09,0.0002967626063153572,0.00026753113304500074,0.019767609997787997,0.3891995809156883,0.448576556923024,0.30357246833842183
D052,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.2271847388151146,5.2465528792724594e-05,5.270271559410442e-05,5.299039520881582e-05,0.00032581212598186316,0.000251802676398036,1.8624071305566068e-09,0.0852402850736517,0.07327123856535621,0.24366145555520974
D053,저밀도+의도행동 없음,메인·웹만,16,0,0.0,False,0.12256660744441916,2.6849581610674523e-07,2.576209621443116e-07,2.448151548832336e-07,0.00013667648811498606,0.00010300289377220382,0.0009972267143483014,0.10440227639624398,0.006486486486486487,0.23872164288720554
D054,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0.03190599794038833,0.0012669290141116903,0.0012792821446539612,0.0012948359735390849,1.0371655111409989e-07,5.69392013500802e-07,2.011113049988983e-11,0.08600959171163085,0.004419486872317061,0.10795331020087681
