session_id,arm,variant,user_id,first_at,last_session_updated_at,event_count,any_intervene,survived_60s,p_max
sess-qsx0saqfhthmttnt8e4,control,beta_B,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2026-09-09 05:30:30.404146+00:00,2026-09-09 05:46:39.244000+00:00,25,True,1,0.4396317427961297
sess-quzxw7r1mesmu0ze8go,control,beta_B,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2026-09-14 08:29:08.290573+00:00,2026-09-14 08:29:23.690000+00:00,1,False,0,0.3279729214776145
sess-qxgn2vfmz1bmttv2au6,treat,beta_A,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,2026-09-09 08:53:29.236624+00:00,2026-09-09 09:23:24.631000+00:00,4,True,1,0.37200911507864654
sess-qyo60ctziomtw90yrn,control,beta_A,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-11 01:00:52.047963+00:00,2026-09-11 01:20:16.943000+00:00,43,True,1,0.17147310470975657
sess-refxfm3b83mu0jr5xr,control,beta_A,e449a249-1fea-49e0-9cda-615810f132ca,2026-09-14 01:11:17.835612+00:00,2026-09-14 01:50:05.203000+00:00,111,False,1,0.21972051139777588
sess-ru1n8878gpmtzriuw3,treat,beta_A,fabd3109-d3f3-463e-b718-f1eb9a7bdeee,2026-09-13 12:00:30.063156+00:00,2026-09-13 12:30:57.093000+00:00,57,True,1,0.4574904738079577
sess-s8bv2ii4jlomtu7bhes,treat,beta_A,,2026-09-09 14:36:32.783857+00:00,,1,False,,0.42016820296048013
sess-svsfslwkjxgmttw8rr4,control,beta_A,d6ccb4ea-a790-4733-89ee-9b78aaa277c7,2026-09-09 09:26:30.005987+00:00,2026-09-09 09:41:17.871000+00:00,3,True,1,0.3266002418410172
sess-tpvi5wlb1s9mttn39j0,treat,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 05:10:08.080333+00:00,2026-09-09 05:39:51.288000+00:00,11,True,1,0.43108540958623964
sess-u0exhfazrmtwk2fq4,control,beta_B,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2026-09-11 06:09:01.552917+00:00,2026-09-11 07:37:08.802000+00:00,19,True,1,0.3849449187022221
sess-us8eg33k3plmty7bqnw,treat,beta_A,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-12 09:47:50.113512+00:00,2026-09-12 10:00:31.817000+00:00,19,True,1,0.2420078653018121
sess-uw3v4ocyojcmtv0w03r,control,beta_B,867ef5fa-448b-44e3-9b48-a2738234b6f7,2026-09-10 04:24:13.885733+00:00,2026-09-10 04:38:03.945000+00:00,28,True,1,0.4055620630294846
sess-v2ry244cuwcmtu6vbxr,treat,beta_A,,2026-09-09 14:24:00.000333+00:00,,1,False,,0.3504304477697467
sess-vwuwimfdddmtxz8qcg,treat,beta_B,867ef5fa-448b-44e3-9b48-a2738234b6f7,2026-09-12 06:02:52.146137+00:00,2026-09-12 06:16:18.780000+00:00,52,True,1,0.15624033225918674
sess-w6z91la2jtamtyi1kig,control,beta_A,dba0c17e-cf7b-4fbc-be57-0f88d08029da,2026-09-12 14:50:32.627430+00:00,2026-09-12 14:53:37.554000+00:00,6,True,1,0.14970968298595178
sess-xqtyeywbmrrmtv6g9eg,control,beta_A,e449a249-1fea-49e0-9cda-615810f132ca,2026-09-10 07:00:04.343570+00:00,2026-09-10 07:16:55.795000+00:00,16,True,1,0.4864759430350968
sess-y4zne6obnmpmtwpofq0,treat,beta_B,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2026-09-11 08:46:04.144522+00:00,2026-09-11 08:54:33.763000+00:00,2,True,1,0.469397870754013
sess-z80l05ydtimtv5jz3o,treat,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-10 06:34:56.267850+00:00,2026-09-10 07:28:09.488000+00:00,9,True,1,0.4701589956074981
sess-zbjcsuymjlmtzkt97i,treat,beta_B,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2026-09-13 08:53:03.889778+00:00,2026-09-13 09:12:44.806000+00:00,77,True,1,0.6521157646706885
