tester,variant,grp,map_order,user_id,day,sessions,play_min,diary_written,q3,active,diary,both
T09,beta_B,B,mist_first,2dc25242-eecf-4132-af7e-d5911c7a7d64,1,0,0.0,0,,False,False,False
T09,beta_B,B,mist_first,2dc25242-eecf-4132-af7e-d5911c7a7d64,2,2,89.08333333333333,0,,True,False,False
T09,beta_B,B,mist_first,2dc25242-eecf-4132-af7e-d5911c7a7d64,3,0,0.0,0,,False,False,False
T09,beta_B,B,mist_first,2dc25242-eecf-4132-af7e-d5911c7a7d64,4,0,0.0,0,,False,False,False
T09,beta_B,B,mist_first,2dc25242-eecf-4132-af7e-d5911c7a7d64,5,0,0.0,0,,False,False,False
T09,beta_B,B,mist_first,2dc25242-eecf-4132-af7e-d5911c7a7d64,6,0,0.0,0,,False,False,False
T09,beta_B,B,mist_first,2dc25242-eecf-4132-af7e-d5911c7a7d64,7,0,0.0,0,,False,False,False
T10,beta_B,B,mist_first,62b2b0ac-deaf-4e16-81c9-4983aee910c9,1,0,0.0,0,,False,False,False
T10,beta_B,B,mist_first,62b2b0ac-deaf-4e16-81c9-4983aee910c9,2,1,108.01666666666667,1,3.0,True,True,True
T10,beta_B,B,mist_first,62b2b0ac-deaf-4e16-81c9-4983aee910c9,3,1,15.033333333333333,0,,True,False,False
T10,beta_B,B,mist_first,62b2b0ac-deaf-4e16-81c9-4983aee910c9,4,0,0.0,1,3.0,False,True,False
T10,beta_B,B,mist_first,62b2b0ac-deaf-4e16-81c9-4983aee910c9,5,1,14.033333333333333,1,2.0,True,True,True
T10,beta_B,B,mist_first,62b2b0ac-deaf-4e16-81c9-4983aee910c9,6,1,7.766666666666667,0,,True,False,False
T10,beta_B,B,mist_first,62b2b0ac-deaf-4e16-81c9-4983aee910c9,7,0,0.0,0,,False,False,False
